Company,quantity
TRAD3,281647000
TRFO3,43378000
TRFO4,43378000
TRIS3,186618000
TROR3,5400000
TROR4,5400000
TRPL3,658883000
TRPL4,658883000
TRPN3,45300000
TSEP3,91831000
TSEP4,91831000
TSPP3,400714000
TSPP4,400714000
TTEN3,494618000
TUPY3,144178000
TUPY4,144178000
TVIT3,88990000
TXRX3,4259000
TXRX4,4259000
UBBR11,2734420000
UBBR3,2734420000
UBBR4,2734420000
UCAS3,66086000
UCOP4,195000000
UGPA3,1115150000
UGPA4,1115150000
UNIP3,94433000
UNIP5,94433000
UNIP6,94433000
UOLL4,120132000
USIM3,1253080000
USIM5,1253080000
USIM6,1253080000
VAGV3,69927000
VAGV4,69927000
VALE3,4999040000
VALE5,4999040000
VAMO3,976988000
VBBR3,1165000000
VCPA4,553734000
VGOR3,165447000
VGOR4,165447000
VIGR3,162768000
VIIA3,1598430000
VINE3,42389000
VINE5,42389000
VITT3,143049000
VIVA3,236198000
VIVO3,400714000
VIVO4,400714000
VIVR3,142903000
VIVT3,1690980000
VIVT4,1690980000
VLID3,82475000
VNET3,2716820000
VPSC3,529960000
VPSC4,529960000
VPTA3,548710000
VPTA4,548710000
VSPT3,136243000
VSPT4,136243000
VTLM3,16308000
VULC3,245756000
VULC4,245756000
VVAR11,1598430000
VVAR4,1598430000
VVAX3,110398000
VVAX4,110398000
VVEO3,286123000
WEGE3,4197320000
WEGE4,4197320000
WEST3,110172000
WHRL3,1502790000
WHRL4,1502790000
WISA3,6856000
WISA4,6856000
WIZS3,159907000
WLMM3,36414700
WLMM4,36414700
WMBY3,24000000
WSON33,31500000
YDUQ3,309089000
